record_no,datetime,radon_bq_m3
492,2024-06-06 15:44:00,19
493,2024-06-06 16:44:00,19
494,2024-06-06 17:44:00,25
495,2024-06-06 18:44:00,35
496,2024-06-06 19:44:00,41
497,2024-06-06 20:44:00,25
498,2024-06-06 21:44:00,23
499,2024-06-06 22:44:00,19
500,2024-06-06 23:44:00,18
501,2024-06-07 00:44:00,21
502,2024-06-07 01:44:00,19
503,2024-06-07 02:44:00,18
504,2024-06-07 03:44:00,30
505,2024-06-07 04:44:00,28
506,2024-06-07 05:44:00,21
507,2024-06-07 06:44:00,18
508,2024-06-07 07:44:00,23
509,2024-06-07 08:44:00,14
510,2024-06-07 09:44:00,23
511,2024-06-07 10:44:00,33
512,2024-06-07 11:44:00,23
513,2024-06-07 12:44:00,25
514,2024-06-07 13:44:00,25
515,2024-06-07 14:44:00,25
516,2024-06-07 15:44:00,42
517,2024-06-07 16:44:00,57
518,2024-06-07 17:44:00,42
519,2024-06-07 18:44:00,37
520,2024-06-07 19:44:00,35
521,2024-06-07 20:44:00,21
522,2024-06-07 21:44:00,19
523,2024-06-07 22:44:00,23
524,2024-06-07 23:44:00,30
525,2024-06-08 00:44:00,11
526,2024-06-08 01:44:00,9
527,2024-06-08 02:44:00,28
528,2024-06-08 03:44:00,21
529,2024-06-08 04:44:00,11
530,2024-06-08 05:44:00,21
531,2024-06-08 06:44:00,23
532,2024-06-08 07:44:00,18
533,2024-06-08 08:44:00,19
534,2024-06-08 09:44:00,18
535,2024-06-08 10:44:00,44
536,2024-06-08 11:44:00,26
537,2024-06-08 12:44:00,21
538,2024-06-08 13:44:00,28
539,2024-06-08 14:44:00,19
540,2024-06-08 15:44:00,42
541,2024-06-08 16:44:00,37
542,2024-06-08 17:44:00,37
543,2024-06-08 18:44:00,19
544,2024-06-08 19:44:00,39
545,2024-06-08 20:44:00,28
546,2024-06-08 21:44:00,21
547,2024-06-08 22:44:00,18
548,2024-06-08 23:44:00,30
549,2024-06-09 00:44:00,16
550,2024-06-09 01:44:00,19
551,2024-06-09 02:44:00,21
552,2024-06-09 03:44:00,26
553,2024-06-09 04:44:00,21
554,2024-06-09 05:44:00,25
555,2024-06-09 06:44:00,26
556,2024-06-09 07:44:00,21
557,2024-06-09 08:44:00,21
558,2024-06-09 09:44:00,23
559,2024-06-09 10:44:00,44
560,2024-06-09 11:44:00,37
561,2024-06-09 12:44:00,41
562,2024-06-09 13:44:00,28
563,2024-06-09 14:44:00,23
